Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
France,FRA,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,FRO,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,31.11111111,31.11111111,34.44444444,34.44444444,27.77777778,27.77777778,37.77777778,37.77777778,36.66666667,35.55556667,32.22223333,32.22223333,35.55556667,
Gabon,GAB,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44444444,47.77777778,40,40,36.66666667,41.11111111,40,43.33333333,36.66666667,42.22222222,42.22222222,39.99996667,36.66663333,36.66663333,36.66663333,
United Kingdom,GBR,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GEO,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.66666667,85.55555556,85.55555556,85.55555556,88.88888889,88.88888889,95.55555556,95.55555556,94.44444444,92.22222222,82.22222222,88.8889,88.8889,86.6667,87.7778,
Ghana,GHA,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.11111111,53.33333333,55.55555556,55.55555556,58.88888889,58.88888889,65.55555556,62.22222222,58.88888889,62.22222222,62.22222222,65.55556667,68.8889,68.8889,71.11113333,
Gibraltar,GIB,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.66666667,62.22222222,57.77777778,61.11111111,55.55555556,54.44444444,57.77777778,58.88888889,57.77777778,52.22222222,52.22222222,53.33333333,55.55556667,52.22223333,58.8889,
"Gambia, The",GMB,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.33333333,61.11111111,64.44444444,62.22222222,62.22222222,62.22222222,67.77777778,64.44444444,67.77777778,70,66.66666667,65.55556667,64.44443333,63.33333333,68.8889,
